event_id,event_name,event_desciption
1,"Snoop Dogg - “I Wanna Thank Me” Tour (The O2, London)","FEATURING SPECIAL GUESTS INCLUDING: WARREN G, THA DOGG POUND, VERSATILE, OBIE TRICE & D12. The forthcoming tour sees the West Coast rap legend touring in support of his 17th album I Wanna Thank Me, and documentary of the same name, released earlier this year. I Wanna Thank Me celebrates 25 years of the Snoop Dogg ,a career that has seen the Doggfather cement his undisputed influence on music with chart-topping, multi-platinum records, while also solidifying his importance to wider culture as an actor, businessman and more across the board. The tour reflects this and sees Snoop Dogg enlist a selection of his key collaborators from the breadth of his iconic music career including further West Coast hip hop royalty; Warren G, Tha Dogg Pound, Obie Trice and D12. They will also be joined by the multi-million streamed Irish rap duo Versatile. ID may be required on entry as proof of purchase. Resales are strictly not permitted. The promoter reserves the right to void any tickets found on, or sold through any secondary resale sites. Under 15's must be accompanied by an adult aged 18 or over. Under 16's cannot enter the standing area."
2,"Boneca Halloween: Bordello of Pain with Âme, Luciano, &ME vs Rampa & more","THE party of the year is back, and just in time for some wild Halloween antics. Our most scandalous theme. Our wildest production – with over 50 professional performers. The line-up…. Boneca Halloween is officially back ⚡😈 Our highly anticipated return will be taking place at the Holy Trinity Church in the heart of Marylebone, and we’re holding nothing back with this year’s theme… 🔞 We will be recreating the outrageous shenanigans of a Bordello – where the paranormal gets truly risqué. Release your naughty side and wander through the hidden rooms, bizarre shows, and fiendish rituals. Expect lots of latex, leather, red velvet, whips, chains, ropes, cuffs, and some spanking. We highly encourage you to don your most outrageous outfit and join us for a wild night of erotica. — LINE UP —     Thursday 31 October | 10pm-4:30am Âme live (Innervisions) Secret Guest Majdo     SOLD OUT - Friday 1 November | 10pm-4:30am Rampa vs &ME (KEINEMUSIK) KOLLEKTIV TURMSTRASSE (DIYNAMIC MUSIC) Majdo     Saturday 2 November | 10pm-4:30am Luciano (Extended Set) Majdo — TABLES — If you are interested in booking a table, please email tables@bonecalondon.com "
3,"Soul II Soul - Performing Club Classics Volume 1(Royal Albert Hall, London)","Tickets on general sale here from Thursday 29th August at 9 AM **THIS IS A HIGH DEMAND SHOW SO IF YOU CANNOT FIND THE TICKETS YOU ARE LOOKING FOR HERE PLEASE CONTACT ROYAL ALBERT HALL FOR AVAILABILITY** Please contact the venue direct to book box seats. The legendary RnB group will be performing their iconic debut album “Club Classics Vol. One” along with other greatest hits! 2018 saw the band tour their 30th Anniversary show to sell-out crowds across the U.K. Don’t miss this special concert to celebrate this seminal album. This is a 14+ event ""TICKETS WILL BE POSTED TO THE SHIPPING ADDRESS PROVIDED WITHIN THE TWO WEEKS LEADING UP TO THE EVENT DATE. ORDERS OUTSIDE THE UK Please note that all orders outside of the UK will not be sent via postal service. Tickets will be made available for your collection at the venues box office, on the night of the show. Only the person who has purchased the tickets will be able to collect the tickets from the box office and will need to provide Identification. Tickets will not be able to be collected by anyone else, please bare this in mind when making your order. UNDELIVERED TICKETS/UNABLE TO POST In the unlikely event that your tickets have not been posted to you, you will need to collect the tickets from the box office of the venue, on the night of the show. Only the person who originally purchased the tickets will be able to make this collection and will be required to provide Identification for this. Please bare this in mind when making your order. ID may be required on entry as proof of purchase. Resales are strictly not permitted. The promoter reserves the right to void any tickets found on, or sold through any secondary resale sites."""
4,PARTY LIT DAY FETE,"Join us for our Free Day Fete PARTY LIT DAY FETE > Saturday 26 October 2019 > Cargo > 2pm-10pm Music Policy: Soca x Dancehall + a hint of other genres ☆ DJ MAJIKAL ☆ TEAM 246 ☆ DJ JAMZY ☆ ARMANI HIC ☆ DJ SPARKY ☆ AFTER DARK ENT ☆ DJ T-BONE ☆ DJ DEEZY Tickets & Admission: Tickets are 100% FREE! - Ticket Event Only Arrive early to avoid disappointment > Over 18 - No ID / No Entry (Last Entry at 8pm) > Smart Casual - No Tracksuits, No Hats Follow us on Instagram @partylituk More Info: www.partylituk.com"
5,Satori presents Maktub (SATURDAY),"Due to popular demand for this event, we are very happy to announce that we are adding a SECOND DATE on Friday 6 December >> http://bit.ly/MaktubDec6 Please note that we will not be accepting any ticket swaps between the dates —— ABOUT —— Following an incredible show which sold out in minutes last year, Satori comes back to London for another Maktub at 26 Leake Street - the former railway arch located in the historic Leake Street graffiti tunnel (aka Banksy tunnel). “The objective is to move a LIVE act into a real art piece and give it the same value as a band performance. With this Maktub concept we want to break with the regular DJ culture and, in return, expand the artistic/musical concept of club-nights, with the live acts strengthening.” Satori Apart from the live aspect... “We will create a further cinematographic experience, were the visual art will perfectly mix with the sound, producing this way what an extraordinary atmosphere should be”. 🎹🎩 —— TABLES —— If you are interested in booking a table for this event, please email tables@bonecalondon.com"
6,We Need to Talk About Race: Black Experience in White Majority Churches,"The Bible speaks of an impartial God, a diverse body of believers and justice for all people. Yet, historically, the words of the Bible have been used to justify slavery, segregation and racial discrimination. And despite advances in law and in society, white privilege persists in all areas of life, including our churches. Ben Lindsay describes how ‘being black in a white majority church can be a bit like the first day of a new school on repeat. Your natural insecurities come to the surface. Will I be included? Will I be noticed? How do I connect with the popular people? How do I fit in? Will my contributions be valued?’ These feelings come from a lifetime of slights and indignities based on skin colour and highlighted differences; of isolation and exclusion; and from the hostility and defensiveness of white people. And yet, not wanting to be defined by these experiences or be portrayed as a victim, Ben invites us to talk about race. Join us to listen with open hearts to the wise and honest insights of our panel of speakers: the joys and sorrows, the grace and the pain of their individual and collective experience, and to explore together how we respond to each other as people of faith, see each other as God sees us and build inclusive and empowered communities. Ben Lindsay is a pastor at Emmanuel Church London, the Founder and CEO of Power the Fight, a charity working to end youth violence and knife crime, and the author of We Need To Talk About Race: Understanding the Black Experience in White Majority Churches (SPCK 2019). He will be joined by Guvna B, the first rapper to top the Christian and Gospel charts, the Revd Rosemarie Mallett, Vicar of St John’s Church, Brixton, and Lead Public Policy Advisor in the Diocese of Southwark and Chine McDonald, Media Content & PR Lead at Christian Aid. The evening will be chaired by Canon Tricia Hillas, Canon Pastor of St Paul’s Cathedral, and include plenty of time for questions and answers. BSL interpretation will be provided at this event: please let us know if you require seats in the area reserved for this."
7,SEC Teens Day of Fellowship:TEENS UNITED,A day of fellowship and gladness 
8,God With Us: Seeing the Christmas Stories with Fresh Eyes,"The Christmas stories are some of the best-loved in the Bible but their familiarity can mask their real, mind-boggling message: God comes to the world in a human body, in obscurity and vulnerability, and nothing is ever the same again. In this evening, Paula Gooder, the renowned New Testament scholar, will unravel some of what these revolutionary stories really tell us. What does it mean that the God who shaped the universe into existence was prepared to be born as a tiny, vulnerable baby in a dangerous time? Why did God chose this ludicrously risky way to redeem the world? And what does it mean that he trusted the whole plan to a young girl? She will also explore what Jesus’ birth means for the powerful and the poor, then and now, and how we might come to these stories afresh, letting them reach our hearts and change our lives. Dr Paula Gooder is one of the best-known New Testament scholars and teachers of our time, and Chancellor of St Paul’s Cathedral, the first layperson to hold the role. She is the author of numerous academic and popular books of Biblical theology, including Journey to the Manger: Exploring the Birth of Jesus and The Meaning is in the Waiting: The Spirit of Advent (both Canterbury Press). The evening will be chaired by Andrew Carwood, Director of Music at St Paul’s Cathedral, and include plenty of time for questions and answers. BSL interpretation will be provided at this event: please let us know if you require seats in the area reserved for this."
9,Black History Month - Open Mic Night,Calling all youths around the country to come and join us as we fellowship and worship with our talents. It’s going to be a great night so don’t miss out! - 1 Peter 4:10 For further information please follow and message @fifmi_blessedyouth on Instagram.
10,Before Malcolm X - The History of Islam in the Americas,"Mustafa Briggs will be coming to Queen Mary University of London for the first time as part of his new lecture series ""Before Malcolm X - The History of Islam in the Americas"". This new lecture series is a follow-up to the greatly popular ""Beyond Bilal: Black History in Islam"" series which toured universities across the country and in the US. About the Speaker Briggs is an internationally-acclaimed speaker whose lectures explore the intersection of Black Black History and Islam. He is a graduate of Arabic & International Relations from the University of Westminster. His dissertation was on Arabic Literature and Literacy in West Africa. He then went on to start an MA in Translation at SOAS with a specialisation in Arabic and Islamic Texts, and is now studying at al-Azhar University in Cairo, Egypt where he is doing another degree in Islamic Studies & Arabic. "
